tExp3,uExp3,iExp3,tExp4,uExp4,iExp4,tExp5,uExp5,iExp5,tExp6,uExp6,iExp6
21,4.1715394,-0.023073333,21,4.2027328,-0.023793333,21,4.2142766,-0.023793333,21,4.6728612,-0.022353333
21.2,4.1442265,-0.018746667,21.2,4.175355,-0.0274,21.2,4.1870174,-0.024513333,21.2,4.6266751,-0.01586
21.4,4.1177329,-0.022353333,21.4,4.1489152,-0.023793333,21.4,4.1606207,-0.02668,21.4,4.5817714,-0.023073333
21.6,4.091929,-0.020186667,21.6,4.1231329,-0.025233333,21.6,4.134763,-0.02668,21.6,4.5381937,-0.025233333
21.8,4.0667827,-0.023073333,21.8,4.0979758,-0.020913333,21.8,4.1097352,-0.023793333,21.8,4.4958017,-0.020913333
22,4.0422399,-0.024513333,22,4.0734007,-0.02884,22,4.085311,-0.024513333,22,4.4545737,-0.021633333
22.2,4.0183978,-0.018746667,22.2,4.0494831,-0.023073333,22.2,4.0614796,-0.020186667,22.2,4.4146177,-0.02668
22.4,3.9952024,-0.019466667,22.4,4.0263631,-0.0274,22.4,4.038295,-0.021633333,22.4,4.3756531,-0.021633333
22.6,3.972535,-0.019466667,22.6,4.003739,-0.025233333,22.6,4.0156924,-0.018746667,22.6,4.3377234,-0.023793333
22.8,3.950439,-0.020913333,22.8,3.9816536,-0.020186667,22.8,3.9936395,-0.024513333,22.8,4.3008177,-0.025233333
23,3.9288926,-0.023073333,23,3.9600534,-0.025233333,23,3.9720931,-0.02812,23,4.2650436,-0.023793333
23.2,3.907896,-0.023793333,23.2,3.9388844,-0.02668,23.2,3.9511396,-0.023793333,23.2,4.2302181,-0.020186667
23.4,3.8874815,-0.023793333,23.4,3.9183512,-0.022353333,23.4,3.9305849,-0.023073333,23.4,4.1963735,-0.021633333
23.6,3.867487,-0.022353333,23.6,3.89826,-0.019466667,23.6,3.9105907,-0.020913333,23.6,4.163477,-0.02596
23.8,3.8479131,-0.020913333,23.8,3.8785996,-0.0274,23.8,3.8910707,-0.025233333,23.8,4.1314216,-0.02812
24,3.8287489,-0.018026667,24,3.8593707,-0.024513333,24,3.8719062,-0.023073333,24,4.1003147,-0.02596
24.2,3.8100697,-0.02668,24.2,3.8406161,-0.023793333,24.2,3.8532593,-0.025233333,24.2,4.0700809,-0.022353333
24.4,3.791703,-0.02668,24.4,3.8223033,-0.021633333,24.4,3.8349573,-0.019466667,24.4,4.0406339,-0.020913333
24.6,3.7737891,-0.020913333,24.6,3.8043031,-0.023793333,24.6,3.8170757,-0.020913333,24.6,4.0119522,-0.02596
24.8,3.7562739,-0.024513333,24.8,3.7866263,-0.023793333,24.8,3.7996037,-0.023073333,24.8,3.9839926,-0.023793333
25,3.7390498,-0.017306667,25,3.7693806,-0.02812,25,3.7824119,-0.02812,25,3.956766,-0.02596
25.2,3.7220952,-0.022353333,25.2,3.7523829,-0.022353333,25.2,3.7655543,-0.023793333,25.2,3.9302184,-0.025233333
25.4,3.7055178,-0.0274,25.4,3.7356761,-0.022353333,25.4,3.7490092,-0.025233333,25.4,3.9043391,-0.020186667
25.6,3.6891236,-0.022353333,25.6,3.7193143,-0.025233333,25.6,3.7327767,-0.023793333,25.6,3.8790416,-0.021633333
25.8,3.6729234,-0.022353333,25.8,3.7032219,-0.023793333,25.8,3.7168244,-0.021633333,25.8,3.854294,-0.025233333
26,3.6569603,-0.018746667,26,3.6873559,-0.020186667,26,3.7010985,-0.020913333,26,3.8300531,-0.021633333
26.2,3.641159,-0.024513333,26.2,3.6716192,-0.020913333,26.2,3.6855559,-0.023073333,26.2,3.8062217,-0.025233333
26.4,3.6257456,-0.021633333,26.4,3.6562381,-0.024513333,26.4,3.6702611,-0.020186667,26.4,3.7827784,-0.02596
26.6,3.6103862,-0.023793333,26.6,3.6410619,-0.025233333,26.6,3.6550956,-0.02596,26.6,3.7597446,-0.023073333
26.8,3.5954687,-0.020913333,26.8,3.6260582,-0.021633333,26.8,3.6402104,-0.021633333,26.8,3.7371312,-0.023073333
27,3.5808099,-0.023793333,27,3.6112269,-0.023793333,27,3.6255193,-0.019466667,27,3.7150244,-0.018026667
27.2,3.5663666,-0.023073333,27.2,3.5966651,-0.018746667,27.2,3.6110437,-0.024513333,27.2,3.6934134,-0.025233333
27.4,3.5521603,-0.022353333,27.4,3.5823404,-0.02812,27.4,3.5968376,-0.023793333,27.4,3.6722336,-0.025233333
27.6,3.5382021,-0.024513333,27.6,3.5682852,-0.020913333,27.6,3.5828578,-0.020186667,27.6,3.6515602,-0.022353333
27.8,3.5243948,-0.023073333,27.8,3.554413,-0.024513333,27.8,3.5691367,-0.025233333,27.8,3.6313289,-0.02956
28,3.5109324,-0.020913333,28,3.5408859,-0.023073333,28,3.5554909,-0.021633333,28,3.6115179,-0.021633333
28.2,3.497664,-0.018746667,28.2,3.5275313,-0.0274,28.2,3.5421147,-0.020186667,28.2,3.592192,-0.020913333
28.4,3.4846111,-0.022353333,28.4,3.5143384,-0.023793333,28.4,3.5289649,-0.02596,28.4,3.5731571,-0.020913333
28.6,3.4719032,-0.023073333,28.6,3.5015011,-0.02812,28.6,3.516009,-0.024513333,28.6,3.5545208,-0.023793333
28.8,3.4593246,-0.018746667,28.8,3.4887932,-0.020186667,28.8,3.5032472,-0.022353333,28.8,3.5363158,-0.025233333
29,3.4469292,-0.022353333,29,3.476344,-0.024513333,29,3.4907441,-0.02668,29,3.5185959,-0.01586
29.2,3.4347064,-0.025233333,29.2,3.4641319,-0.024513333,29.2,3.4784889,-0.023793333,29.2,3.5012748,-0.021633333
29.4,3.4227206,-0.020913333,29.4,3.4519844,-0.023073333,29.4,3.4664708,-0.023073333,29.4,3.4843309,-0.021633333
29.6,3.4109612,-0.024513333,29.6,3.440031,-0.025233333,29.6,3.4545605,-0.023073333,29.6,3.4677751,-0.022353333
29.8,3.3993527,-0.023073333,29.8,3.428347,-0.024513333,29.8,3.4428873,-0.021633333,29.8,3.4515532,-0.02812
30,3.3879814,-0.0274,30,3.4168248,-0.021633333,30,3.431268,-0.020186667,30,3.4356333,-0.023073333
30.2,3.376707,-0.022353333,30.2,3.4055073,-0.02668,30.2,3.4199613,-0.031006667,30.2,3.4200907,-0.02596
30.4,3.365659,-0.020913333,30.4,3.3943192,-0.023793333,30.4,3.4087193,-0.023073333,30.4,3.4048606,-0.02668
30.6,3.3546757,-0.024513333,30.6,3.3832496,-0.022353333,30.6,3.3976497,-0.020913333,30.6,3.3899538,-0.022353333
30.8,3.3438756,-0.0274,30.8,3.3724387,-0.021633333,30.8,3.3867634,-0.018746667,30.8,3.375392,-0.020913333
31,3.3332156,-0.023793333,31,3.3617572,-0.01514,31,3.3761358,-0.024513333,31,3.3610889,-0.02596
31.2,3.3226634,-0.021633333,31.2,3.3512696,-0.024513333,31.2,3.3656267,-0.020186667,31.2,3.347163,-0.023073333
31.4,3.3123699,-0.023073333,31.4,3.3409115,-0.020186667,31.4,3.3552362,-0.0274,31.4,3.333485,-0.025233333
31.6,3.3023027,-0.022353333,31.6,3.3306718,-0.021633333,31.6,3.3449642,-0.019466667,31.6,3.320152,-0.022353333
31.8,3.2923433,-0.023793333,31.8,3.3205831,-0.023793333,31.8,3.3348324,-0.023793333,31.8,3.3070884,-0.021633333
32,3.2825025,-0.020186667,32,3.3106669,-0.02596,32,3.3249269,-0.021633333,32,3.2942942,-0.020913333
32.2,3.2728557,-0.023073333,32.2,3.3008799,-0.024513333,32.2,3.3150861,-0.022353333,32.2,3.2817804,-0.02596
32.4,3.2633167,-0.023793333,32.4,3.2913733,-0.025233333,32.4,3.3053854,-0.023073333,32.4,3.2694497,-0.022353333
32.6,3.2539933,-0.02596,32.6,3.2819851,-0.023073333,32.6,3.2958787,-0.021633333,32.6,3.2574101,-0.025233333
32.8,3.2449174,-0.024513333,32.8,3.2727372,-0.02668,32.8,3.286469,-0.021633333,32.8,3.2455857,-0.02596
33,3.2359173,-0.023793333,33,3.2635969,-0.02668,33,3.2773288,-0.021633333,33,3.2340419,-0.023073333
33.2,3.2270789,-0.024513333,33.2,3.2545861,-0.021633333,33.2,3.268318,-0.02596,33.2,3.222649,-0.018746667
33.4,3.2183806,-0.020913333,33.4,3.2456827,-0.020913333,33.4,3.2594364,-0.024513333,33.4,3.211547,-0.024513333
33.6,3.2098225,-0.023073333,33.6,3.2369844,-0.02668,33.6,3.2507381,-0.02668,33.6,3.2006823,-0.022353333
33.8,3.2014476,-0.020913333,33.8,3.2284263,-0.023073333,33.8,3.242115,-0.024513333,33.8,3.1900654,-0.020186667
34,3.1930942,-0.023073333,34,3.2199867,-0.025233333,34,3.2335892,-0.018746667,34,3.179621,-0.024513333
34.2,3.1849025,-0.021633333,34.2,3.2115794,-0.023073333,34.2,3.2251819,-0.02668,34.2,3.1693814,-0.020913333
34.4,3.1768617,-0.020186667,34.4,3.2034092,-0.025233333,34.4,3.2169148,-0.023793333,34.4,3.1593358,-0.024513333
34.6,3.1689071,-0.020913333,34.6,3.1953792,-0.022353333,34.6,3.208777,-0.023793333,34.6,3.1494734,-0.024513333
34.8,3.1610064,-0.017306667,34.8,3.1874354,-0.030286667,34.8,3.2007038,-0.020913333,34.8,3.1398588,-0.025233333
